,time_E-q_0,time_E-q_1,time_E-q_2,time_E-q_3,time_E-q_4,time_E-q_5,time_E-q_6,time_E-q_7,time_E-q_8,time_E-q_9,time_E-q_10,time_E-q_11,time_E-q_12,time_E-q_13,time_E-q_14,time_E-q_15,time_E-q_16,time_E-q_17,time_H-q_0,time_H-q_1,time_H-q_2,time_H-q_3,time_H-q_4,time_H-q_5,time_H-q_6,time_H-q_7,time_H-q_8,time_H-q_9,time_H-q_10,time_H-q_11,time_H-q_12,time_H-q_13,time_H-q_14,time_H-q_15,time_H-q_16,time_H-q_17,time_S-q_0,time_S-q_1,time_S-q_2,time_S-q_3,time_S-q_4,time_S-q_5,time_S-q_6,time_S-q_7,time_S-q_8,time_S-q_9,time_S-q_10,time_S-q_11,time_S-q_12,time_S-q_13,time_S-q_14,time_S-q_15,time_S-q_16,time_S-q_17
p_325,15377,14364,7534,23933,13374,30188,18071,7240,8559,11492,22624,7979,7473,5864,10002,6010,20053,10580,32653,36148,25118,14038,11538,15256,14863,12308,17211,15513,18889,20936,27036,44550,13627,19986,57170,37166,27592,34934,14309,23130,8201,8408,14234,21860,15055,16736,30182,11353,10972,14549,10981,18504,20034,11717
p_328,53538,396276,25074,15893,30364,16702,20122,17740,9651,10230,13532,29468,13760,26486,11089,12076,11192,34904,29417,10145,20243,11873,11958,14590,9630,28283,8107,12534,16086,12719,6716,17882,6866,28801,24609,14148,13981,14462,15950,25370,12306,51905,18475,28958,8413,14189,12785,8584,20102,16114,10309,26920,13476,10244
p_329,6331,26561,14940,9130,30645,21020,14101,41401,14431,16452,22614,20239,43268,13857,26185,7324,13412,10152,34594,15306,94731,29509,61606,28069,26698,21986,16174,20233,9539,13514,26512,12536,25969,66572,35224,46804,4894,7411,8930,2948,10413,7544,8953,6121,15778,4494,43499,8676,11801,28677,11745,10738,6720,9258
p_330,25511,14556,20156,42990,21301,92092,18176,32665,7736,17518,24897,15142,15909,82743,8520,14399,12754,10180,19775,19369,33481,13449,11937,69400,21514,33650,5957,10763,5687,13065,10457,17887,13965,34150,24981,10628,21789,8986,12931,10037,5307,24973,9856,25659,18368,12943,9205,17837,8001,21120,12497,31010,18016,7145
p_335,18258,15404,18887,16048,8819,83953,25160,13538,8102,13156,6779,10602,12292,15778,5941,28603,9847,6585,31520,18040,25592,25129,23858,42354,28684,91335,25035,60457,34682,63794,17624,108683,7435,22328,10671,14110,17128,17824,18319,10952,6693,23639,12630,15372,4789,13266,12698,12871,8006,13060,12096,22812,10432,7740
p_336,34102,51235,24773,15777,13736,12517,29578,16884,38573,26871,35589,76450,31938,44768,10436,7852,15418,10619,68156,73433,30622,34015,10465,15211,15622,27791,18200,16677,50256,13640,11939,27580,13982,13790,33680,36943,25702,35905,18141,29377,26045,23126,11412,14800,10438,11227,43679,12862,17925,11955,10031,12147,36806,43580
p_337,66489,6944,16275,12943,8203,21117,12004,33583,7030,13780,22001,26379,6342,11339,8197,28867,14210,8173,51684,29306,27446,15525,17467,43686,23978,61004,8939,15168,20010,102470,31901,95359,7061,18701,13345,17263,21355,16231,15337,13286,14017,64037,23462,22913,12784,21002,6421,12976,32391,19206,8070,26894,7662,14829
p_338,16937,17172,12329,16659,8931,9936,11513,16934,15801,14276,27047,10477,10292,11621,8759,10297,13312,11224,15459,17397,7928,24099,18633,22593,12284,10943,7508,7369,25019,13349,7697,7559,6479,10597,25132,28467,13348,43979,20784,9383,12844,7571,13409,6491,24627,10548,16828,41526,17637,32245,12001,10859,16547,9323
p_339,12305,14935,13673,15020,53327,19534,35379,8846,127812,10295,28471,20105,6775,8554,6764,5541,40389,19070,14278,20810,28299,22051,6474,15085,9747,67330,22959,13444,17104,24384,17077,13042,17838,17547,20392,22331,47785,40725,21846,40675,23590,10296,23758,17600,20922,11347,43402,29878,31393,52641,17122,10642,66614,26520
p_341,59693,21220,20235,30811,8641,11473,12465,42162,33773,34460,42502,16648,9993,80994,28645,15874,61596,29368,46329,44221,89403,31679,27864,37378,58863,43901,24454,22017,27359,163435,26433,74781,34463,33698,51758,33131,20594,24738,18985,38206,32427,36828,22707,28133,11413,14531,37156,14107,10815,11643,12444,21880,26046,135077
p_342,73618,65689,137411,45825,46729,16914,64662,31140,70177,8347,79619,22523,21476,27886,28168,26126,99431,42558,29165,16348,39935,31907,53742,12650,90164,16104,44400,13176,33708,19989,85932,98833,26772,24664,18997,16478,41843,17257,35768,35861,30930,18172,29802,20424,41413,30841,32808,14283,11704,43754,26358,57014,14937,57443
p_343,31165,11944,7270,7893,13231,25125,6026,26761,6639,11775,8541,13872,7016,7614,5323,9117,13991,11832,54642,128753,34409,13713,22971,16057,13792,18903,15998,9631,16350,34727,15463,132771,8687,39656,20146,26552,14190,15132,17385,18145,6836,9771,12532,16980,6697,14044,5350,13010,35935,16915,5803,20118,14813,7924
p_347,20068,15350,27868,9091,11531,68636,17260,29210,13834,10757,5670,7985,18535,11375,6130,24159,8168,18185,112123,48671,85336,59276,40564,146525,41550,94778,9330,15878,21941,34965,22049,138350,10268,70152,12290,23512,41452,9746,22088,15323,5306,26922,14347,22193,9287,12165,14212,13322,11211,11441,9809,44915,7651,14432
p_348,15483,47940,25018,19491,9394,15332,17602,4938,15574,15201,12662,11463,12653,13487,6751,7105,14784,9042,20770,46104,13980,34818,5466,12241,10867,20199,11378,11075,22135,8110,10722,12332,7574,12866,18464,17664,13612,21188,13160,16691,14112,20502,15335,9627,6060,9953,23535,12693,12206,5997,16856,9031,15373,17700
p_349,30975,41225,56689,7220,12115,11876,8756,24371,8516,13809,5086,8668,9726,8356,5011,10881,10866,15618,56729,23750,69209,23422,31435,22728,84282,7138,58529,7630,10078,29317,8442,27974,10043,25048,40863,5087,14856,32344,19638,8312,16464,12356,66841,9709,7164,9848,15340,13528,15531,51146,16169,17744,22353,9282
p_350,17669,16796,19031,17484,9867,8060,19331,17902,21020,7767,38833,8844,7171,18072,15338,26894,19553,14691,16232,24515,13695,24244,26746,29212,22751,10049,6968,9597,29612,9765,11474,7137,9099,6598,24951,40695,16484,43101,25732,13045,13334,12773,28273,11867,20702,17614,9911,39493,16004,15531,8637,6884,17803,8924
p_351,26021,38972,48991,45102,47531,45254,42386,65481,25166,34506,87208,29176,12463,21462,17845,17583,69587,165755,82506,159624,85611,68158,14579,18939,21206,55757,29545,34458,106267,29998,30415,122437,12823,51036,66482,56170,70495,115230,108714,37725,59908,47922,98356,33909,131389,47825,38214,191514,65209,79204,18485,23944,72175,31136
p_358,87915,48021,18139,59628,8370,12377,11984,15435,17196,8794,23628,12862,49297,49996,34658,133457,26188,8907,39353,34260,50634,55673,19761,154914,94942,16290,26580,8775,52568,10448,27306,14116,13435,6614,41237,32010,39569,85056,30119,42735,18504,14160,29678,17924,21261,28925,29505,14145,19077,18807,12182,68690,34729,22617
p_359,20958,17876,16211,24617,11070,151689,47430,17558,6879,15395,12556,13488,23018,19172,6934,18894,23608,137098,49272,37306,36735,36722,23602,72722,37172,102058,11082,11092,38383,49937,18316,138014,9569,32184,21159,24079,19084,16433,12828,14072,6297,22849,26552,38369,6103,19147,90042,10908,9418,12385,25650,28105,10608,15174
p_363,17114,77944,66035,19864,19212,12454,10558,34409,25334,13744,6928,13575,18834,22047,59628,26208,37709,9096,28762,15519,30764,12339,22283,41921,51762,24734,17013,11835,26995,19824,44543,75033,44409,36859,26412,26743,82073,75459,65360,35052,19928,9864,45327,64093,18093,14941,21074,48037,45381,13533,59611,9033,30709,60770
p_369,12193,14962,19487,6668,22961,8044,10560,10211,16151,5866,4120,12232,6658,13275,10359,13034,13469,3706,27489,10859,27778,7359,23597,4735,32587,4856,11205,20224,8549,17504,19014,37145,7198,37266,18209,11346,40889,11549,59619,8307,35474,12516,134120,30644,25721,15547,7494,44324,14428,50239,13114,67203,106350,6593
p_370,20920,9796,58533,21417,18094,46818,15012,110514,67258,69794,16354,38936,60879,22004,16123,19877,55651,11832,29764,8794,14889,16485,14180,40658,11299,28287,20319,27001,12043,25033,18633,62318,15054,16609,26676,36265,16417,15213,24266,19726,11123,19569,21907,33741,17536,38196,11957,54383,21505,27938,44226,24671,45349,12036
p_371,41268,42001,28734,35700,12934,10684,8650,37251,17551,13016,47701,26184,15917,41718,11284,21251,37601,28251,33767,59968,29867,14550,19133,22534,77535,15450,26051,31650,29300,55484,23200,41850,19551,14200,22983,17000,16101,27618,11467,23717,14133,23901,18601,33634,10400,14250,24368,20617,10067,9551,12150,9150,16284,29884
p_372,20844,48101,14054,16194,10016,12174,26773,10065,28115,21727,28296,45195,17944,32378,7630,8818,20946,8870,24115,53402,24689,21539,7987,14551,17107,26267,16610,14061,54605,14898,12760,55633,25710,12145,29882,28326,34397,32968,10646,20338,16376,18413,9968,14826,7605,7873,25562,7952,11154,9981,12446,12316,21992,32281
p_376,22927,48358,13337,37996,14365,11455,12697,14127,65861,29251,15240,15955,33447,15524,6491,17898,50817,17728,42723,36818,9370,22233,19314,26947,12912,20153,14657,7076,33752,12323,15876,9638,10716,9614,59198,69665,18745,43102,15658,29710,48391,21665,26110,16093,17295,24184,47255,16064,12405,14207,13453,13607,27749,21576
p_378,14816,17435,26103,14621,38213,59627,9461,33779,5620,21332,17131,34582,18993,182655,9256,15088,14413,11725,23874,42719,26144,12342,15237,42505,20059,19407,4935,12123,5925,19566,10064,24369,10081,28077,14100,11151,20115,20237,24190,18344,6379,19575,15536,16935,5366,10500,14037,8394,32166,13657,11218,41106,10272,10086
p_382,23576,294801,36783,35225,40944,26523,62963,35037,45537,31198,17706,63062,15864,24530,11458,27233,44077,224583,44533,82842,44319,67087,48123,54601,76577,25943,15959,23437,43823,28712,23240,9831,16199,7970,68560,37471,35557,83795,66494,40587,70347,40784,27380,54660,41750,38939,43397,61354,22049,37517,20154,20061,34639,100164
p_385,14133,6321,12044,11883,11390,9934,12291,22016,5774,9475,26733,11675,6877,20792,4910,19896,6635,12049,37386,19711,26414,16743,21033,41920,16017,49181,6653,19362,20087,21202,22895,109494,6187,31551,15203,11162,11418,11628,24662,15343,10345,58071,28205,19521,8770,15688,6277,15508,22955,14924,14952,25648,9224,7619
p_387,12872,335609,27534,87918,27040,9427,15150,16570,28704,18640,12670,10424,16305,9776,15467,8689,16190,16271,13392,579872,75284,98481,33651,123197,33004,7209,43192,78147,211177,198613,272146,26178,155177,298596,21138,314261,28007,19765,24888,61201,31598,43350,39434,17358,75874,69865,92389,48662,26018,23005,11686,14214,65645,11393
p_397,25925,7326,9657,7097,6624,13299,6651,24955,9398,11541,16542,10188,4461,7284,4790,21967,4488,12993,59894,13401,26059,13034,26203,56843,15934,77287,6755,24366,11436,21336,14803,103458,8187,101250,16598,30106,12852,12416,17571,22496,6756,47268,23173,32423,10293,27065,14524,13755,15065,13199,6325,34644,6433,5290
p_400,26847,63319,21911,31201,18867,22789,15746,12074,30586,18225,15634,13301,20104,14034,9149,13457,19426,17437,4256,4169,6449,5704,6528,5051,6502,7770,3764,2559,2383,3194,2578,2124,2493,2549,4554,2170,28179,59584,21495,72305,7960,9597,31194,9163,16409,14090,21091,6250,12183,16685,16755,14569,4916,26184
p_404,47536,32334,63452,11280,23233,7043,217828,25435,61555,7460,20995,25032,24675,22387,9271,9064,110449,25229,47206,8550,83911,7385,11575,125364,34491,5891,28003,5738,183932,18261,183641,33589,6334,20703,64042,28735,30189,25088,42381,13355,60514,115012,111851,20953,32908,12922,7315,78055,24379,77350,12483,38819,6253,26397
